ID;Name;First Date; Last Use;Number
474464039;Nick;18.46.04-2020-04-14;23.24.15-2021-02-02;14;
11;Kapiton;21.33.19-2021-01-31;21.56.53-2021-01-31;3;
12;Kapiton;21.48.15-2021-01-31;21.48.15-2021-01-31;1;
13;Kapiton;21.58.17-2021-01-31;23.23.53-2021-02-02;3;
474464039;Nick;23.04.15-2021-02-02;23.24.15-2021-02-02;2;
474464039;Nick;23.05.11-2021-02-02;23.24.15-2021-02-02;2;
474464039;Nick;23.14.04-2021-02-02;23.24.15-2021-02-02;2;
474464039;Nick;23.15.20-2021-02-02;23.24.15-2021-02-02;2;
474464039;Nick;23.17.16-2021-02-02;23.24.15-2021-02-02;2;
474464039;Nick;23.19.31-2021-02-02;23.24.15-2021-02-02;2;
474464039;Nick;23.19.59-2021-02-02;23.24.15-2021-02-02;2;
474464039;Nick;23.24.29-2021-02-02;23.24.29-2021-02-02;1;
474464039;Nick;23.27.51-2021-02-02;23.27.51-2021-02-02;1;
474464039;Nick;23.30.11-2021-02-02;23.30.11-2021-02-02;1;
474464039;Nick;23.30.46-2021-02-02;23.30.46-2021-02-02;1;
